Q,A
import com.sltg.common.core.domain.entity.SysMenu,;
import com.sltg.common.core.domain.entity.SysMenu;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,core
import com.sltg.common.core,.
import com.sltg.common.core.,domain
import com.sltg.common.core.domain,.
import com.sltg.common.core.domain.,entity
import com.sltg.common.core.domain.entity,.
import com.sltg.common.core.domain.entity.,SysUser
import com.sltg.common.core.domain.entity.SysUser,;
import com.sltg.common.core.domain.entity.SysUser;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,core
import com.sltg.common.core,.
import com.sltg.common.core.,domain
import com.sltg.common.core.domain,.
import com.sltg.common.core.domain.,model
import com.sltg.common.core.domain.model,.
import com.sltg.common.core.domain.model.,LoginBody
import com.sltg.common.core.domain.model.LoginBody,;
import com.sltg.common.core.domain.model.LoginBody;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,core
import com.sltg.common.core,.
import com.sltg.common.core.,domain
import com.sltg.common.core.domain,.
import com.sltg.common.core.domain.,model
import com.sltg.common.core.domain.model,.
import com.sltg.common.core.domain.model.,LoginUser
import com.sltg.common.core.domain.model.LoginUser,;
import com.sltg.common.core.domain.model.LoginUser;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,utils
import com.sltg.common.utils,.
import com.sltg.common.utils.,ServletUtils
import com.sltg.common.utils.ServletUtils,;
import com.sltg.common.utils.ServletUtils;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,framework
import com.sltg.framework,.
import com.sltg.framework.,web
import com.sltg.framework.web,.
import com.sltg.framework.web.,service
import com.sltg.framework.web.service,.
import com.sltg.framework.web.service.,SysLoginService
import com.sltg.framework.web.service.SysLoginService,;
import com.sltg.framework.web.service.SysLoginService;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,framework
import com.sltg.framework,.
import com.sltg.framework.,web
import com.sltg.framework.web,.
import com.sltg.framework.web.,service
import com.sltg.framework.web.service,.
import com.sltg.framework.web.service.,SysPermissionService
import com.sltg.framework.web.service.SysPermissionService,;
import com.sltg.framework.web.service.SysPermissionService;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,framework
import com.sltg.framework,.
import com.sltg.framework.,web
import com.sltg.framework.web,.
import com.sltg.framework.web.,service
import com.sltg.framework.web.service,.
import com.sltg.framework.web.service.,TokenService
import com.sltg.framework.web.service.TokenService,;
import com.sltg.framework.web.service.TokenService;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,system
import com.sltg.system,.
import com.sltg.system.,service
import com.sltg.system.service,.
import com.sltg.system.service.,SysMenuService
import com.sltg.system.service.SysMenuService,;
import com.sltg.system.service.SysMenuService;,PARAM_END
public ,class
public class, 
public class ,SysLoginController
public class SysLoginController, 
public class SysLoginController ,{
public class SysLoginController {,PARAM_END
private ,SysLoginService
private SysLoginService, 
private SysLoginService ,loginService
private SysLoginService loginService,;
private SysLoginService loginService;,PARAM_END
private ,SysMenuService
private SysMenuService, 
private SysMenuService ,menuService
private SysMenuService menuService,;
private SysMenuService menuService;,PARAM_END
private ,SysPermissionService
private SysPermissionService, 
private SysPermissionService ,permissionService
private SysPermissionService permissionService,;
private SysPermissionService permissionService;,PARAM_END
private ,TokenService
private TokenService, 
private TokenService ,tokenService
private TokenService tokenService,;
private TokenService tokenService;,PARAM_END
@PostMapping,(
@PostMapping(,"/login"
@PostMapping("/login",)
@PostMapping("/login"),PARAM_END
public ,AjaxResult
public AjaxResult, 
public AjaxResult ,login
public AjaxResult login,(
public AjaxResult login(,@
public AjaxResult login(@,RequestBody
public AjaxResult login(@RequestBody, 
public AjaxResult login(@RequestBody ,LoginBody
public AjaxResult login(@RequestBody LoginBody, 
public AjaxResult login(@RequestBody LoginBody ,loginBody
public AjaxResult login(@RequestBody LoginBody loginBody,)
public AjaxResult login(@RequestBody LoginBody loginBody), 
public AjaxResult login(@RequestBody LoginBody loginBody) ,{
public AjaxResult login(@RequestBody LoginBody loginBody) {,PARAM_END
AjaxResult ,ajax
AjaxResult ajax, 
AjaxResult ajax ,=
AjaxResult ajax =, 
AjaxResult ajax = ,AjaxResult
AjaxResult ajax = AjaxResult,.
AjaxResult ajax = AjaxResult.,success
AjaxResult ajax = AjaxResult.success,(
AjaxResult ajax = AjaxResult.success(,)
AjaxResult ajax = AjaxResult.success(),;
AjaxResult ajax = AjaxResult.success();,PARAM_END
String ,token
String token, 
String token ,=
String token =, 
String token = ,loginService
String token = loginService,.
String token = loginService.,login
String token = loginService.login,(
String token = loginService.login(,loginBody
String token = loginService.login(loginBody,.
String token = loginService.login(loginBody.,getUsername
String token = loginService.login(loginBody.getUsername,(
String token = loginService.login(loginBody.getUsername(,)
String token = loginService.login(loginBody.getUsername(),@COMMA_CHAR_REPLACE
String token = loginService.login(loginBody.getUsername()@COMMA_CHAR_REPLACE, 
String token = loginService.login(loginBody.getUsername()@COMMA_CHAR_REPLACE ,loginBody
String token = loginService.login(loginBody.getUsername()@COMMA_CHAR_REPLACE loginBody,.
String token = loginService.login(loginBody.getUsername()@COMMA_CHAR_REPLACE loginBody.,getPassword
String token = loginService.login(loginBody.getUsername()@COMMA_CHAR_REPLACE loginBody.getPassword,(
String token = loginService.login(loginBody.getUsername()@COMMA_CHAR_REPLACE loginBody.getPassword(,)
String token = loginService.login(loginBody.getUsername()@COMMA_CHAR_REPLACE loginBody.getPassword(),@COMMA_CHAR_REPLACE
String token = loginService.login(loginBody.getUsername()@COMMA_CHAR_REPLACE loginBody.getPassword()@COMMA_CHAR_REPLACE, 
String token = loginService.login(loginBody.getUsername()@COMMA_CHAR_REPLACE loginBody.getPassword()@COMMA_CHAR_REPLACE ,loginBody
String token = loginService.login(loginBody.getUsername()@COMMA_CHAR_REPLACE loginBody.getPassword()@COMMA_CHAR_REPLACE loginBody,.
String token = loginService.login(loginBody.getUsername()@COMMA_CHAR_REPLACE loginBody.getPassword()@COMMA_CHAR_REPLACE loginBody.,getCode
String token = loginService.login(loginBody.getUsername()@COMMA_CHAR_REPLACE loginBody.getPassword()@COMMA_CHAR_REPLACE loginBody.getCode,(
String token = loginService.login(loginBody.getUsername()@COMMA_CHAR_REPLACE loginBody.getPassword()@COMMA_CHAR_REPLACE loginBody.getCode(,)
String token = loginService.login(loginBody.getUsername()@COMMA_CHAR_REPLACE loginBody.getPassword()@COMMA_CHAR_REPLACE loginBody.getCode(),@COMMA_CHAR_REPLACE
String token = loginService.login(loginBody.getUsername()@COMMA_CHAR_REPLACE loginBody.getPassword()@COMMA_CHAR_REPLACE loginBody.getCode()@COMMA_CHAR_REPLACE,PARAM_END
loginBody.,getUuid
loginBody.getUuid,(
loginBody.getUuid(,)
loginBody.getUuid(),)
loginBody.getUuid()),;
loginBody.getUuid());,PARAM_END
ajax.,put
ajax.put,(
ajax.put(,Constants
ajax.put(Constants,.
ajax.put(Constants.,TOKEN
ajax.put(Constants.TOKEN,@COMMA_CHAR_REPLACE
ajax.put(Constants.TOKEN@COMMA_CHAR_REPLACE, 
ajax.put(Constants.TOKEN@COMMA_CHAR_REPLACE ,token
ajax.put(Constants.TOKEN@COMMA_CHAR_REPLACE token,)
ajax.put(Constants.TOKEN@COMMA_CHAR_REPLACE token),;
ajax.put(Constants.TOKEN@COMMA_CHAR_REPLACE token);,PARAM_END
return ,ajax
return ajax,;
return ajax;,PARAM_END
@GetMapping,(
@GetMapping(,"getInfo"
@GetMapping("getInfo",)
@GetMapping("getInfo"),PARAM_END
public ,AjaxResult
public AjaxResult, 
public AjaxResult ,getInfo
public AjaxResult getInfo,(
public AjaxResult getInfo(,)
public AjaxResult getInfo(), 
public AjaxResult getInfo() ,{
public AjaxResult getInfo() {,PARAM_END
LoginUser ,loginUser
LoginUser loginUser, 
LoginUser loginUser ,=
LoginUser loginUser =, 
LoginUser loginUser = ,tokenService
LoginUser loginUser = tokenService,.
LoginUser loginUser = tokenService.,getLoginUser
LoginUser loginUser = tokenService.getLoginUser,(
LoginUser loginUser = tokenService.getLoginUser(,ServletUtils
LoginUser loginUser = tokenService.getLoginUser(ServletUtils,.
LoginUser loginUser = tokenService.getLoginUser(ServletUtils.,getRequest
LoginUser loginUser = tokenService.getLoginUser(ServletUtils.getRequest,(
LoginUser loginUser = tokenService.getLoginUser(ServletUtils.getRequest(,)
LoginUser loginUser = tokenService.getLoginUser(ServletUtils.getRequest(),)
LoginUser loginUser = tokenService.getLoginUser(ServletUtils.getRequest()),;
LoginUser loginUser = tokenService.getLoginUser(ServletUtils.getRequest());,PARAM_END
SysUser ,user
SysUser user, 
SysUser user ,=
SysUser user =, 
SysUser user = ,loginUser
SysUser user = loginUser,.
SysUser user = loginUser.,getUser
SysUser user = loginUser.getUser,(
SysUser user = loginUser.getUser(,)
SysUser user = loginUser.getUser(),;
SysUser user = loginUser.getUser();,PARAM_END
Set<,String
Set<String,>
Set<String>, 
Set<String> ,roles
Set<String> roles, 
Set<String> roles ,=
Set<String> roles =, 
Set<String> roles = ,permissionService
Set<String> roles = permissionService,.
Set<String> roles = permissionService.,getRolePermission
Set<String> roles = permissionService.getRolePermission,(
Set<String> roles = permissionService.getRolePermission(,user
Set<String> roles = permissionService.getRolePermission(user,)
Set<String> roles = permissionService.getRolePermission(user),;
Set<String> roles = permissionService.getRolePermission(user);,PARAM_END
Set<,String
Set<String,>
Set<String>, 
Set<String> ,permissions
Set<String> permissions, 
Set<String> permissions ,=
Set<String> permissions =, 
Set<String> permissions = ,permissionService
Set<String> permissions = permissionService,.
Set<String> permissions = permissionService.,getMenuPermission
Set<String> permissions = permissionService.getMenuPermission,(
Set<String> permissions = permissionService.getMenuPermission(,user
Set<String> permissions = permissionService.getMenuPermission(user,)
Set<String> permissions = permissionService.getMenuPermission(user),;
Set<String> permissions = permissionService.getMenuPermission(user);,PARAM_END
AjaxResult ,ajax
AjaxResult ajax, 
AjaxResult ajax ,=
AjaxResult ajax =, 
AjaxResult ajax = ,AjaxResult
AjaxResult ajax = AjaxResult,.
AjaxResult ajax = AjaxResult.,success
AjaxResult ajax = AjaxResult.success,(
AjaxResult ajax = AjaxResult.success(,)
AjaxResult ajax = AjaxResult.success(),;
AjaxResult ajax = AjaxResult.success();,PARAM_END
ajax.,put
ajax.put,(
ajax.put(,"user"
ajax.put("user",@COMMA_CHAR_REPLACE
ajax.put("user"@COMMA_CHAR_REPLACE, 
ajax.put("user"@COMMA_CHAR_REPLACE ,user
ajax.put("user"@COMMA_CHAR_REPLACE user,)
ajax.put("user"@COMMA_CHAR_REPLACE user),;
ajax.put("user"@COMMA_CHAR_REPLACE user);,PARAM_END
ajax.,put
ajax.put,(
ajax.put(,"roles"
ajax.put("roles",@COMMA_CHAR_REPLACE
ajax.put("roles"@COMMA_CHAR_REPLACE, 
ajax.put("roles"@COMMA_CHAR_REPLACE ,roles
ajax.put("roles"@COMMA_CHAR_REPLACE roles,)
ajax.put("roles"@COMMA_CHAR_REPLACE roles),;
ajax.put("roles"@COMMA_CHAR_REPLACE roles);,PARAM_END
ajax.,put
ajax.put,(
ajax.put(,"permissions"
ajax.put("permissions",@COMMA_CHAR_REPLACE
ajax.put("permissions"@COMMA_CHAR_REPLACE, 
ajax.put("permissions"@COMMA_CHAR_REPLACE ,permissions
ajax.put("permissions"@COMMA_CHAR_REPLACE permissions,)
ajax.put("permissions"@COMMA_CHAR_REPLACE permissions),;
ajax.put("permissions"@COMMA_CHAR_REPLACE permissions);,PARAM_END
return ,ajax
return ajax,;
return ajax;,PARAM_END
@GetMapping,(
@GetMapping(,"getRouters"
@GetMapping("getRouters",)
@GetMapping("getRouters"),PARAM_END
public ,AjaxResult
public AjaxResult, 
public AjaxResult ,getRouters
public AjaxResult getRouters,(
public AjaxResult getRouters(,)
public AjaxResult getRouters(), 
public AjaxResult getRouters() ,{
public AjaxResult getRouters() {,PARAM_END
LoginUser ,loginUser
LoginUser loginUser, 
LoginUser loginUser ,=
LoginUser loginUser =, 
LoginUser loginUser = ,tokenService
LoginUser loginUser = tokenService,.
LoginUser loginUser = tokenService.,getLoginUser
LoginUser loginUser = tokenService.getLoginUser,(
LoginUser loginUser = tokenService.getLoginUser(,ServletUtils
LoginUser loginUser = tokenService.getLoginUser(ServletUtils,.
LoginUser loginUser = tokenService.getLoginUser(ServletUtils.,getRequest
LoginUser loginUser = tokenService.getLoginUser(ServletUtils.getRequest,(
LoginUser loginUser = tokenService.getLoginUser(ServletUtils.getRequest(,)
LoginUser loginUser = tokenService.getLoginUser(ServletUtils.getRequest(),)
LoginUser loginUser = tokenService.getLoginUser(ServletUtils.getRequest()),;
LoginUser loginUser = tokenService.getLoginUser(ServletUtils.getRequest());,PARAM_END
SysUser ,user
SysUser user, 
SysUser user ,=
SysUser user =, 
SysUser user = ,loginUser
SysUser user = loginUser,.
SysUser user = loginUser.,getUser
SysUser user = loginUser.getUser,(
SysUser user = loginUser.getUser(,)
SysUser user = loginUser.getUser(),;
SysUser user = loginUser.getUser();,PARAM_END
List<,SysMenu
List<SysMenu,>
List<SysMenu>, 
List<SysMenu> ,menus
List<SysMenu> menus, 
List<SysMenu> menus ,=
List<SysMenu> menus =, 
List<SysMenu> menus = ,menuService
List<SysMenu> menus = menuService,.
List<SysMenu> menus = menuService.,selectMenuTreeByUserId
List<SysMenu> menus = menuService.selectMenuTreeByUserId,(
List<SysMenu> menus = menuService.selectMenuTreeByUserId(,user
List<SysMenu> menus = menuService.selectMenuTreeByUserId(user,.
List<SysMenu> menus = menuService.selectMenuTreeByUserId(user.,getUserId
List<SysMenu> menus = menuService.selectMenuTreeByUserId(user.getUserId,(
List<SysMenu> menus = menuService.selectMenuTreeByUserId(user.getUserId(,)
List<SysMenu> menus = menuService.selectMenuTreeByUserId(user.getUserId(),)
List<SysMenu> menus = menuService.selectMenuTreeByUserId(user.getUserId()),;
List<SysMenu> menus = menuService.selectMenuTreeByUserId(user.getUserId());,PARAM_END
return ,AjaxResult
return AjaxResult,.
return AjaxResult.,success
return AjaxResult.success,(
return AjaxResult.success(,menuService
return AjaxResult.success(menuService,.
return AjaxResult.success(menuService.,buildMenus
return AjaxResult.success(menuService.buildMenus,(
return AjaxResult.success(menuService.buildMenus(,menus
return AjaxResult.success(menuService.buildMenus(menus,)
return AjaxResult.success(menuService.buildMenus(menus),)
return AjaxResult.success(menuService.buildMenus(menus)),;
return AjaxResult.success(menuService.buildMenus(menus));,PARAM_END
import java.,util
import java.util,.
import java.util.,List
import java.util.List,;
import java.util.List;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,beans
import org.springframework.beans,.
import org.springframework.beans.,factory
import org.springframework.beans.factory,.
import org.springframework.beans.factory.,annotation
import org.springframework.beans.factory.annotation,.
import org.springframework.beans.factory.annotation.,Autowired
import org.springframework.beans.factory.annotation.Autowired,;
import org.springframework.beans.factory.annotation.Autowired;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,security
import org.springframework.security,.
import org.springframework.security.,access
import org.springframework.security.access,.
import org.springframework.security.access.,prepost
import org.springframework.security.access.prepost,.
import org.springframework.security.access.prepost.,PreAuthorize
import org.springframework.security.access.prepost.PreAuthorize,;
import org.springframework.security.access.prepost.PreAuthorize;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,validation
import org.springframework.validation,.
import org.springframework.validation.,annotation
import org.springframework.validation.annotation,.
import org.springframework.validation.annotation.,Validated
import org.springframework.validation.annotation.Validated,;
import org.springframework.validation.annotation.Validated;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,DeleteMapping
import org.springframework.web.bind.annotation.DeleteMapping,;
import org.springframework.web.bind.annotation.DeleteMapping;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,GetMapping
import org.springframework.web.bind.annotation.GetMapping,;
import org.springframework.web.bind.annotation.GetMapping;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,PathVariable
import org.springframework.web.bind.annotation.PathVariable,;
import org.springframework.web.bind.annotation.PathVariable;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,PostMapping
import org.springframework.web.bind.annotation.PostMapping,;
import org.springframework.web.bind.annotation.PostMapping;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,PutMapping
import org.springframework.web.bind.annotation.PutMapping,;
import org.springframework.web.bind.annotation.PutMapping;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,RequestBody
import org.springframework.web.bind.annotation.RequestBody,;
import org.springframework.web.bind.annotation.RequestBody;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,RequestMapping
import org.springframework.web.bind.annotation.RequestMapping,;
import org.springframework.web.bind.annotation.RequestMapping;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,RestController
import org.springframework.web.bind.annotation.RestController,;
import org.springframework.web.bind.annotation.RestController;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,annotation
import com.sltg.common.annotation,.
import com.sltg.common.annotation.,Log
import com.sltg.common.annotation.Log,;
import com.sltg.common.annotation.Log;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,core
import com.sltg.common.core,.
import com.sltg.common.core.,controller
import com.sltg.common.core.controller,.
import com.sltg.common.core.controller.,BaseController
import com.sltg.common.core.controller.BaseController,;
import com.sltg.common.core.controller.BaseController;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,core
import com.sltg.common.core,.
import com.sltg.common.core.,domain
import com.sltg.common.core.domain,.
import com.sltg.common.core.domain.,AjaxResult
import com.sltg.common.core.domain.AjaxResult,;
import com.sltg.common.core.domain.AjaxResult;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,core
import com.sltg.common.core,.
import com.sltg.common.core.,page
import com.sltg.common.core.page,.
import com.sltg.common.core.page.,TableDataInfo
import com.sltg.common.core.page.TableDataInfo,;
import com.sltg.common.core.page.TableDataInfo;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,enums
import com.sltg.common.enums,.
import com.sltg.common.enums.,BusinessType
import com.sltg.common.enums.BusinessType,;
import com.sltg.common.enums.BusinessType;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,utils
import com.sltg.common.utils,.
import com.sltg.common.utils.,SecurityUtils
import com.sltg.common.utils.SecurityUtils,;
import com.sltg.common.utils.SecurityUtils;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,system
import com.sltg.system,.
import com.sltg.system.,domain
import com.sltg.system.domain,.
import com.sltg.system.domain.,SysNotice
import com.sltg.system.domain.SysNotice,;
import com.sltg.system.domain.SysNotice;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,system
import com.sltg.system,.
import com.sltg.system.,service
import com.sltg.system.service,.
import com.sltg.system.service.,SysNoticeService
import com.sltg.system.service.SysNoticeService,;
import com.sltg.system.service.SysNoticeService;,PARAM_END
@RequestMapping,(
@RequestMapping(,"/system/notice"
@RequestMapping("/system/notice",)
@RequestMapping("/system/notice"),PARAM_END
public ,class
public class, 
public class ,SysNoticeController
public class SysNoticeController, 
public class SysNoticeController ,extends
public class SysNoticeController extends, 
public class SysNoticeController extends ,BaseController
public class SysNoticeController extends BaseController, 
public class SysNoticeController extends BaseController ,{
public class SysNoticeController extends BaseController {,PARAM_END
private ,SysNoticeService
private SysNoticeService, 
private SysNoticeService ,noticeService
private SysNoticeService noticeService,;
private SysNoticeService noticeService;,PARAM_END
@PreAuthorize,(
@PreAuthorize(,"@ss.hasPermi('system:notice:list')"
@PreAuthorize("@ss.hasPermi('system:notice:list')",)
@PreAuthorize("@ss.hasPermi('system:notice:list')"),PARAM_END
@GetMapping,(
@GetMapping(,"/list"
@GetMapping("/list",)
@GetMapping("/list"),PARAM_END
public ,TableDataInfo
public TableDataInfo, 
public TableDataInfo ,list
public TableDataInfo list,(
public TableDataInfo list(,SysNotice
public TableDataInfo list(SysNotice, 
public TableDataInfo list(SysNotice ,notice
public TableDataInfo list(SysNotice notice,)
public TableDataInfo list(SysNotice notice), 
public TableDataInfo list(SysNotice notice) ,{
public TableDataInfo list(SysNotice notice) {,PARAM_END
startPage(,)
startPage(),;
startPage();,PARAM_END
List<,SysNotice
List<SysNotice,>
List<SysNotice>, 
List<SysNotice> ,list
List<SysNotice> list, 
List<SysNotice> list ,=
List<SysNotice> list =, 
List<SysNotice> list = ,noticeService
List<SysNotice> list = noticeService,.
List<SysNotice> list = noticeService.,selectNoticeList
List<SysNotice> list = noticeService.selectNoticeList,(
List<SysNotice> list = noticeService.selectNoticeList(,notice
List<SysNotice> list = noticeService.selectNoticeList(notice,)
List<SysNotice> list = noticeService.selectNoticeList(notice),;
List<SysNotice> list = noticeService.selectNoticeList(notice);,PARAM_END
return ,getDataTable
return getDataTable,(
return getDataTable(,list
return getDataTable(list,)
return getDataTable(list),;
return getDataTable(list);,PARAM_END
@PreAuthorize,(
@PreAuthorize(,"@ss.hasPermi('system:notice:query')"
@PreAuthorize("@ss.hasPermi('system:notice:query')",)
@PreAuthorize("@ss.hasPermi('system:notice:query')"),PARAM_END
@GetMapping,(
@GetMapping(,value
@GetMapping(value, 
@GetMapping(value ,=
@GetMapping(value =, 
@GetMapping(value = ,"/{noticeId}"
@GetMapping(value = "/{noticeId}",)
@GetMapping(value = "/{noticeId}"),PARAM_END
public ,AjaxResult
public AjaxResult, 
public AjaxResult ,getInfo
public AjaxResult getInfo,(
public AjaxResult getInfo(,@
public AjaxResult getInfo(@,PathVariable
public AjaxResult getInfo(@PathVariable, 
public AjaxResult getInfo(@PathVariable ,Long
public AjaxResult getInfo(@PathVariable Long, 
public AjaxResult getInfo(@PathVariable Long ,noticeId
public AjaxResult getInfo(@PathVariable Long noticeId,)
public AjaxResult getInfo(@PathVariable Long noticeId), 
public AjaxResult getInfo(@PathVariable Long noticeId) ,{
public AjaxResult getInfo(@PathVariable Long noticeId) {,PARAM_END
return ,AjaxResult
return AjaxResult,.
return AjaxResult.,success
return AjaxResult.success,(
return AjaxResult.success(,noticeService
return AjaxResult.success(noticeService,.
return AjaxResult.success(noticeService.,selectNoticeById
return AjaxResult.success(noticeService.selectNoticeById,(
return AjaxResult.success(noticeService.selectNoticeById(,noticeId
return AjaxResult.success(noticeService.selectNoticeById(noticeId,)
return AjaxResult.success(noticeService.selectNoticeById(noticeId),)
return AjaxResult.success(noticeService.selectNoticeById(noticeId)),;
return AjaxResult.success(noticeService.selectNoticeById(noticeId));,PARAM_END
@PreAuthorize,(
@PreAuthorize(,"@ss.hasPermi('system:notice:add')"
@PreAuthorize("@ss.hasPermi('system:notice:add')",)
@PreAuthorize("@ss.hasPermi('system:notice:add')"),PARAM_END
@Log,(
@Log(,title
@Log(title, 
@Log(title ,=
@Log(title =, 
@Log(title = ,"消息公告"
@Log(title = "消息公告",@COMMA_CHAR_REPLACE
@Log(title = "消息公告"@COMMA_CHAR_REPLACE, 
@Log(title = "消息公告"@COMMA_CHAR_REPLACE ,businessType
@Log(title = "消息公告"@COMMA_CHAR_REPLACE businessType, 
@Log(title = "消息公告"@COMMA_CHAR_REPLACE businessType ,=
@Log(title = "消息公告"@COMMA_CHAR_REPLACE businessType =, 
@Log(title = "消息公告"@COMMA_CHAR_REPLACE businessType = ,BusinessType
@Log(title = "消息公告"@COMMA_CHAR_REPLACE businessType = BusinessType,.
@Log(title = "消息公告"@COMMA_CHAR_REPLACE businessType = BusinessType.,INSERT
@Log(title = "消息公告"@COMMA_CHAR_REPLACE businessType = BusinessType.INSERT,)
@Log(title = "消息公告"@COMMA_CHAR_REPLACE businessType = BusinessType.INSERT),PARAM_END
public ,AjaxResult
public AjaxResult, 
public AjaxResult ,add
public AjaxResult add,(
public AjaxResult add(,@
public AjaxResult add(@,Validated
public AjaxResult add(@Validated, 
public AjaxResult add(@Validated ,@
public AjaxResult add(@Validated @,RequestBody
public AjaxResult add(@Validated @RequestBody, 
public AjaxResult add(@Validated @RequestBody ,SysNotice
public AjaxResult add(@Validated @RequestBody SysNotice, 
public AjaxResult add(@Validated @RequestBody SysNotice ,notice
public AjaxResult add(@Validated @RequestBody SysNotice notice,)
public AjaxResult add(@Validated @RequestBody SysNotice notice), 
public AjaxResult add(@Validated @RequestBody SysNotice notice) ,{
public AjaxResult add(@Validated @RequestBody SysNotice notice) {,PARAM_END
notice.,setCreateBy
notice.setCreateBy,(
notice.setCreateBy(,SecurityUtils
notice.setCreateBy(SecurityUtils,.
notice.setCreateBy(SecurityUtils.,getUsername
notice.setCreateBy(SecurityUtils.getUsername,(
notice.setCreateBy(SecurityUtils.getUsername(,)
notice.setCreateBy(SecurityUtils.getUsername(),)
notice.setCreateBy(SecurityUtils.getUsername()),;
notice.setCreateBy(SecurityUtils.getUsername());,PARAM_END
return ,toAjax
return toAjax,(
return toAjax(,noticeService
return toAjax(noticeService,.
return toAjax(noticeService.,insertNotice
return toAjax(noticeService.insertNotice,(
return toAjax(noticeService.insertNotice(,notice
return toAjax(noticeService.insertNotice(notice,)
return toAjax(noticeService.insertNotice(notice),)
return toAjax(noticeService.insertNotice(notice)),;
return toAjax(noticeService.insertNotice(notice));,PARAM_END
@PreAuthorize,(
@PreAuthorize(,"@ss.hasPermi('system:notice:edit')"
@PreAuthorize("@ss.hasPermi('system:notice:edit')",)
@PreAuthorize("@ss.hasPermi('system:notice:edit')"),PARAM_END
@Log,(
@Log(,title
@Log(title, 
@Log(title ,=
@Log(title =, 
@Log(title = ,"消息公告"
@Log(title = "消息公告",@COMMA_CHAR_REPLACE
@Log(title = "消息公告"@COMMA_CHAR_REPLACE, 
@Log(title = "消息公告"@COMMA_CHAR_REPLACE ,businessType
@Log(title = "消息公告"@COMMA_CHAR_REPLACE businessType, 
@Log(title = "消息公告"@COMMA_CHAR_REPLACE businessType ,=
@Log(title = "消息公告"@COMMA_CHAR_REPLACE businessType =, 
@Log(title = "消息公告"@COMMA_CHAR_REPLACE businessType = ,BusinessType
